"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 15:28:25 TRT 2024","Mon Apr 22 15:28:32 TRT 2024","7183","Default Suite","luma-test-automation","example.App","example.App","Test6","Test6",""
"passed","Mon Apr 22 15:28:32 TRT 2024","Mon Apr 22 15:28:37 TRT 2024","5754","Default Suite","luma-test-automation","example.App","example.App","Test7","Test7",""
"passed","Mon Apr 22 15:27:55 TRT 2024","Mon Apr 22 15:28:05 TRT 2024","10003","Default Suite","luma-test-automation","example.App","example.App","Test3","Test3",""
"passed","Mon Apr 22 15:27:32 TRT 2024","Mon Apr 22 15:27:40 TRT 2024","7772","Default Suite","luma-test-automation","example.App","example.App","Test11","Test11",""
"passed","Mon Apr 22 15:28:15 TRT 2024","Mon Apr 22 15:28:25 TRT 2024","9919","Default Suite","luma-test-automation","example.App","example.App","Test5","Test5",""
"passed","Mon Apr 22 15:27:20 TRT 2024","Mon Apr 22 15:27:32 TRT 2024","11339","Default Suite","luma-test-automation","example.App","example.App","Test10","Test10",""
"passed","Mon Apr 22 15:28:37 TRT 2024","Mon Apr 22 15:28:48 TRT 2024","10245","Default Suite","luma-test-automation","example.App","example.App","Test8","Test8",""
"passed","Mon Apr 22 15:28:05 TRT 2024","Mon Apr 22 15:28:15 TRT 2024","9773","Default Suite","luma-test-automation","example.App","example.App","Test4","Test4",""
"passed","Mon Apr 22 15:28:48 TRT 2024","Mon Apr 22 15:28:57 TRT 2024","9749","Default Suite","luma-test-automation","example.App","example.App","Test9","Test9",""
"passed","Mon Apr 22 15:27:40 TRT 2024","Mon Apr 22 15:27:48 TRT 2024","8303","Default Suite","luma-test-automation","example.App","example.App","Test12","Test12",""
"passed","Mon Apr 22 15:27:07 TRT 2024","Mon Apr 22 15:27:20 TRT 2024","12783","Default Suite","luma-test-automation","example.App","example.App","Test1","Test1",""
"passed","Mon Apr 22 15:27:48 TRT 2024","Mon Apr 22 15:27:55 TRT 2024","6944","Default Suite","luma-test-automation","example.App","example.App","Test2","Test2",""
